state,region,year,total_all_classes_of_crime_in_state,violent_crime_in_state,property_crime_in_state,murder_and_nonnegligent_manslaughter_in_state,rape_in_state,robbery_in_state,aggravated_assault_in_state,burglary_in_state,larceny_theft_in_state,motor_vehicle_theft_in_state,arson_in_state,other_assaults_in_state,forgery_and_counterfeiting_in_state,fraud_in_state,embezzlement_in_state,stolen_property_buying_receiving_possessing_in_state,vandalism_in_state,weapons_carrying_possessing_etc_in_state,prostitution_and_commercialized_vice_in_state,sex_offenses_except_rape_and_prostitution_in_state,drug_abuse_violations_in_state,gambling_in_state,offenses_against_the_family_and_children_in_state,driving_under_the_influence_in_state,liquor_laws_in_state,drunkenness_in_state,disorderly_conduct_in_state,vagrancy_in_state,all_other_offenses_except_traffic_in_state,suspicion_in_state,curfew_and_loitering_law_violations_in_state
Minnesota,Midwest,2018,147370,5482,23768,101,588,1005,3788,2014,20063,1595,96,14842,1075,3428,15,1964,2662,1859,153,878,20404,30,585,20186,7099,23,8994,225,33238,0,460
Missouri,Midwest,2018,197865,9005,27019,369,507,1426,6703,3325,21098,2383,213,19443,1387,2088,249,2814,3484,3565,269,1089,32982,38,2128,11874,2985,197,6333,773,69611,0,532
Nebraska,Midwest,2018,53007,1671,6581,36,213,247,1175,398,5735,391,57,7474,236,1066,63,736,1693,775,92,314,8993,0,945,4630,2355,1,1851,13,13390,0,128
North Dakota,Midwest,2018,33210,724,3100,10,47,63,604,254,2622,215,9,2846,140,369,34,278,438,340,11,81,5448,1,356,5136,2623,263,1583,4,9329,0,106
Ohio,Midwest,2018,218433,8085,29413,237,470,1548,5830,3354,25004,777,278,30939,770,2089,14,2701,3142,3948,792,451,39708,23,1275,13723,4793,5855,9835,20,60471,4,382
South Dakota,Midwest,2018,44268,1046,2866,11,43,72,920,294,2348,201,23,4451,124,816,31,152,536,250,15,51,8108,1,490,5891,2164,99,2409,616,14077,0,75
Wisconsin,Midwest,2018,245015,7907,25731,171,925,1172,5639,2080,22087,1431,133,16251,899,2220,368,1125,5531,3683,451,1587,31066,19,2116,24368,10654,0,31008,530,78077,0,1424
Connecticut,Northeast,2018,95709,3399,12312,79,212,870,2238,1624,9834,778,76,17370,582,921,140,692,1640,1088,184,360,8087,10,1363,7484,96,11,10505,41,29423,0,1
Delaware,Northeast,2018,28742,1965,5337,33,77,391,1464,688,4511,116,22,6121,210,1348,163,324,755,322,121,107,3707,9,185,427,669,323,1164,164,5289,0,32
Maine,Northeast,2018,40851,756,5456,16,73,135,532,561,4615,235,45,4877,209,480,46,116,1032,144,54,167,3692,2,137,5811,2049,15,1360,1,14432,5,10
Maryland,Northeast,2018,181434,10327,21592,266,477,3283,6301,3851,15404,2030,307,21826,440,866,103,337,2527,3694,809,690,31914,76,1821,18150,4439,56,4843,204,56390,262,68
Massachusetts,Northeast,2018,101681,6608,10308,21,315,709,5563,1478,8263,512,55,17237,391,1087,112,794,2207,913,360,304,7125,9,1185,8280,1280,5168,3554,3,34756,0,0
New Hampshire,Northeast,2018,46413,872,3681,10,76,144,642,309,3186,165,21,5668,237,758,91,553,1254,146,24,130,6522,5,187,5053,1989,3844,884,99,14386,0,30
New Jersey,Northeast,2018,226427,7146,20307,115,274,1699,5058,2982,16659,540,126,16839,852,3558,214,1826,2474,2766,522,895,48008,41,7297,17230,1356,24,9922,197,84648,2,303
New York,Northeast,2018,244041,11433,40466,244,933,2630,7626,4291,34122,1786,267,26623,2019,3749,27,2752,12509,3156,561,1705,69571,45,470,25094,943,0,4273,580,38065,0,0
Pennsylvania,Northeast,2018,345822,19536,44478,444,1132,3915,14045,5185,36453,2508,332,40984,2222,8126,446,2119,6267,4921,1182,2286,61934,34,1806,43798,6716,19808,31264,234,42847,0,4814
Rhode Island,Northeast,2018,25996,954,2660,4,77,194,679,498,1992,158,12,4169,125,551,75,352,915,347,63,82,2049,4,74,2423,337,11,2269,0,8518,0,18
Vermont,Northeast,2018,14334,684,1637,11,86,38,549,220,1343,54,20,1519,52,306,56,98,321,36,1,38,902,0,201,2576,82,0,853,0,4972,0,0
Alabama,Southeast,2018,126404,4761,15609,214,245,919,3383,2352,12332,840,85,13027,768,2103,112,1756,1004,1585,0,446,8217,0,420,6391,1434,5300,1815,34,61622,0,0
Arkansas,Southeast,2018,120240,4650,12516,141,238,474,3797,1748,10118,594,56,11688,820,852,49,1736,1544,1112,136,83,17954,6,434,5761,1265,5035,2301,303,51736,0,259
Florida,Southeast,2018,715424,34907,89456,712,1936,5761,26498,14757,66157,8295,247,80570,1989,11207,1086,1632,6129,6604,1920,2862,134142,123,0,32127,10590,0,0,0,300080,0,0
Georgia,Southeast,2018,200643,7920,22314,307,168,990,6455,2689,18597,913,115,16260,1573,2298,127,2147,2919,2619,322,1629,37291,152,2607,23449,1467,1273,9230,366,64518,19,143
Kentucky,Southeast,2018,205075,1982,12269,126,252,517,1087,2060,9363,723,123,9649,812,989,378,1459,806,508,95,237,19355,1,4729,14812,168,14231,3664,23,118907,0,1
Louisiana,Southeast,2018,176520,10465,30218,334,443,1376,8312,5163,23652,1304,99,21314,703,1283,138,2761,3019,3648,405,1102,30437,33,1727,5650,1287,2880,7178,250,51773,13,236
Mississippi,Southeast,2018,60902,1201,7352,58,67,322,754,1003,5998,314,37,4884,303,704,275,642,571,945,16,119,8003,74,2160,5370,747,3039,3102,72,21239,0,84
North Carolina,Southeast,2018,200411,9180,26731,351,165,2177,6487,5451,20037,1115,128,22676,863,4412,799,2682,3006,4052,148,608,26936,39,3181,27915,1490,0,4183,15,61490,0,5
South Carolina,Southeast,2018,152664,6970,22900,287,532,1209,4942,3116,18578,1070,136,15413,1115,3333,348,2366,2473,2594,285,284,34105,70,1167,15188,4092,5722,8101,588,25517,0,33
Tennessee,Southeast,2018,330989,14353,38557,380,435,1797,11741,4458,30141,3822,136,30862,1690,5043,716,1611,4177,2869,527,545,47876,71,4361,19108,3245,13627,5968,10,134936,0,837
Virginia,Southeast,2018,268094,7090,26694,356,558,1431,4745,2309,23014,1180,191,30541,1572,4868,1272,1085,3490,4062,373,597,45409,12,1536,20885,4131,19398,2844,46,91669,0,520
West Virginia,Southeast,2018,29202,1173,3757,28,55,56,1034,440,3112,181,24,2825,214,265,41,263,468,281,60,63,6044,2,86,3141,555,727,689,8,8531,0,9
Arizona,Southwest,2018,256785,11628,32622,281,328,1940,9079,3883,26621,1711,407,25198,1121,2055,854,1087,10177,3093,349,1386,32272,2,2448,19200,7082,11514,14723,567,78700,54,653
New Mexico,Southwest,2018,74786,4232,7309,67,103,425,3637,916,5993,359,41,8588,171,324,123,1015,1015,535,87,70,5375,3,1388,6464,1333,568,1497,30,34655,3,1
Oklahoma,Southwest,2018,101053,4859,14717,138,216,642,3863,2388,11304,856,169,7785,539,1332,362,2932,1224,2418,7,376,17766,28,630,8660,1198,10698,2195,13,22658,4,652
Texas,Southwest,2018,729902,34166,74627,747,2068,5708,25643,9009,60263,4952,403,92541,4332,6320,447,862,7246,12968,3987,2442,139188,304,3931,69643,8237,54286,7549,497,204684,0,1645
Alaska,West,2018,30620,2686,3763,38,149,367,2132,602,2392,726,43,4943,154,201,54,120,1103,387,2,263,1046,0,174,3148,592,47,843,17,11072,0,5
California,West,2018,1093080,110236,97247,1409,2539,16670,89618,35230,42468,18020,1529,81812,4118,6105,921,16227,16652,28290,6418,8901,219251,403,268,127250,5948,58286,3451,7290,293353,1,652
Colorado,West,2018,193216,7832,24136,195,549,1166,5922,2301,19199,2437,199,16477,688,2243,112,526,4843,2313,376,521,16172,7,2466,20353,7007,144,6887,549,78790,1,773
Hawaii,West,2018,24487,828,2413,40,75,204,509,290,1844,252,27,2968,51,109,0,449,92,185,104,125,1873,149,17,4288,319,0,463,0,9945,0,109
Idaho,West,2018,52292,1542,4896,16,162,90,1274,777,3911,157,51,4559,132,355,47,175,788,283,12,243,8777,1,716,5689,874,333,1455,8,21290,3,114
Montana,West,2018,27357,1174,4114,10,64,97,1003,296,3487,305,26,3962,100,196,40,110,762,75,12,81,2732,0,321,3794,1406,0,2003,10,6167,0,298
Nevada,West,2018,140967,8012,10245,191,408,1411,6002,3103,6314,749,79,17883,428,1813,282,1850,1635,2240,2859,903,11238,23,961,10984,3720,362,2213,3182,59772,2,360
Oregon,West,2018,125230,4232,18015,55,217,824,3136,1725,14123,1911,256,10735,616,1871,54,611,3677,2113,281,348,13605,1,342,13707,2891,29,6210,3,45582,0,307
